Standardized_name,YPD,LET,Flor,LD,IG,PSH,PA,Missing,MissingCollection
,,,,,,,,,
AAB,1,3,1.333333333,3,0.331754674,0,2.645502646,AMS,AMS
,,,,,,,,,
AAD,1.666666667,2,0.333333333,1.666666667,54.25367297,0,1.419422988,AMT,AMT
,,,,,,,,,
AAE,2.666666667,1,1,3,0.012770577,0,6.100689434,ATK,ATK
,,,,,,,,,
AAG,1.666666667,1,0.333333333,2,3.295774431,0,1.773571381,CHN,CHN
,,,,,,,,,
AAI,1,1,0,1,0.046560495,0,0.82147337,CHP,CHP
,,,,,,,,,
AAK,1,2,0,1,0.01019368,0,0.62294278,CHQ,CHQ
,,,,,,,,,
AAL,1,1,0,1,0.113285142,0,0.736119364,SACE_YAL,SACE_YAL
,,,,,,,,,
AAP,2,1,0,1,0.108329861,0,0.975204897,SACE_YCW,SACE_YCW
,,,,,,,,,
AAQ,1,1,0.333333333,1,0,0,1.736317423,SACE_YCX,SACE_YCX
,,,,,,,,,
AAR,1,1.666666667,1.666666667,2,0.171852742,0,5.62676249,SACE_YCY,SACE_YCY
,,,,,,,,,
AAS,1.666666667,1,3.333333333,1.333333333,0.629993754,0,1.699535033,SACE_YCZ,SACE_YCZ
,,,,,,,,,
AAT,1,1.333333333,0,1,0.011005533,0,0.697922267,SACE_YDA,SACE_YDA
,,,,,,,,,
ABA,1,1.666666667,0.333333333,1.666666667,0.278884065,0,4.294579785,SACE_YDG,SACE_YDG
,,,,,,,,,
ABB,1,1.666666667,0,1,0,0,1.02047553,SACE_YDL,SACE_YDL
,,,,,,,,,
ABC,2,1.666666667,0,2,0.055923071,0,1.262390478,AAA,
,,,,,,,,,
ABD,1,1,1,1,2.083560886,0,1.710381122,AAC,
,,,,,,,,,
ABE,1,1,0,1,0.135627866,0,1.601920229,AAH,
,,,,,,,,,
ABF,1,1.333333333,0,2,0.075369191,0,0.718671307,AAM,
,,,,,,,,,
ABG,1,2,0,2,0.129185306,0,0.783276273,AAN,
,,,,,,,,,
ABH,1,1.666666667,0,2,0.046282715,0,0.195701176,AAV,
,,,,,,,,,
ABI,1,1,0,1,0.002483855,0,0.332456215,ABT,
,,,,,,,,,
ABK,1.333333333,1.333333333,1,2,0.415702801,0,2.924199983,ACM,
,,,,,,,,,
ABL,1.333333333,1.333333333,1,2,0.27549994,0,2.850163634,ACQ,
,,,,,,,,,
ABM,1,0,0,1,0.162429008,0,0.539946618,ADM,
,,,,,,,,,
ABP,1,1,0,1,0.007033833,0,0.737534071,AEK,
,,,,,,,,,
ABQ,1,0,0,1,0.009502693,0,0.499863245,AER,
,,,,,,,,,
ABR,1,1.333333333,0,1,0.05221767,0,3.17177376,AFS,
,,,,,,,,,
ABS,1,1,0,1,0.042962603,0,1.315206217,AGB,
,,,,,,,,,
ABV,1,1,0,1,0.004012922,0,0.072621641,AGE,
,,,,,,,,,
ACA,2,1,1.333333333,2,0.031087383,0,0.179667827,AHG,
,,,,,,,,,
ACB,1.333333333,1.333333333,1.333333333,1,0.025403657,0,0.177309981,AHP,
,,,,,,,,,
ACC,1,1,0,1,0.010480689,0,0.253704175,AHQ,
,,,,,,,,,
ACD,1,2.666666667,0.333333333,3,0.021487285,0,0.157504079,AIG,
,,,,,,,,,
ACF,1,1,0,1.666666667,0.033649614,0,0.039140235,AIN,
,,,,,,,,,
ACG,1,1,0,1,0.020403999,0,0.215507078,AKI,
,,,,,,,,,
ACH,1,1.333333333,0,1,0.006593479,0,3.62212225,AKM,
,,,,,,,,,
ACI,1,2,0.666666667,2,0.225773098,0,0.653123202,ALI,
,,,,,,,,,
ACK,1,1.333333333,0,1,0.092514856,0,1.66982618,API,
,,,,,,,,,
ACL,1,1,0,1,24.94966115,0,0.939365645,APV,
,,,,,,,,,
ACN,1.333333333,1.333333333,0,1.333333333,0.029634172,0,0.058946137,AQE,
,,,,,,,,,
ACP,1,2,3.333333333,1.666666667,0.479330866,10.88831449,2.778956701,AQN,
,,,,,,,,,
ACR,1,1,0,1.666666667,0,0,0.533344651,ASD,
,,,,,,,,,
ACS,1,1.666666667,0,1,0.001689389,0,0.110347169,ATQ,
,,,,,,,,,
ACT,1,1,0,1,0.030169325,0,0.156089372,AVP,
,,,,,,,,,
ACV,1,1,0,1,0.392029632,0,0.092427543,BAR,
,,,,,,,,,
ADA,1.333333333,1.333333333,0,1.666666667,0.010553295,0,0.191457054,BBF,
,,,,,,,,,
ADB,1,1.666666667,0.333333333,1,0.097500622,0,1.390657273,BBG,
,,,,,,,,,
ADC,1,1,1.666666667,1.333333333,0.027027662,0,5.250921918,BCG,
,,,,,,,,,
ADD,1,1,0,1.666666667,0.120779312,0,0.312178744,BCN,
,,,,,,,,,
ADE,1,1.666666667,0,1.333333333,0.122956093,0,0.171651152,BEB,
,,,,,,,,,
ADF,1,2.333333333,0,1,0.00821389,0,0.054702015,BEC,
,,,,,,,,,
ADG,1,1,0,1,0.001736563,0,0.119778551,BFA,
,,,,,,,,,
ADH,1,1.666666667,0,1.333333333,0.009458277,0,0.149487404,BHC,
,,,,,,,,,
ADI,1,2,0,1,0.095649802,0,0.158918786,BHI,
,,,,,,,,,
ADK,1,2,0,2,1.200025423,0,2.232408115,BIQ,
,,,,,,,,,
ADL,2,1,0,2,0.017643598,0,1.021890238,BLH,
,,,,,,,,,
ADN,1,3.666666667,0.333333333,3,0.00229442,0,0.431957295,BRL,
,,,,,,,,,
ADP,1,2,0,1,0.002753911,0,3.319374888,BRQ,
,,,,,,,,,
ADQ,1,2,0.333333333,1,0,0,0.096671665,BVC,
,,,,,,,,,
ADR,1,1.333333333,0.333333333,1,0,0,0.104216771,BVG,
,,,,,,,,,
ADS,1,1,0,1,0.181840631,0,0.951626442,BVH,
,,,,,,,,,
ADT,2,1,0,2,0.026278233,0,0.533344651,CAI,
,,,,,,,,,
ADV,2,1.666666667,0,2,0.06086157,0,0.121664828,CBK,
,,,,,,,,,
AEA,1.333333333,2.333333333,2,1,30.11737183,0,7.643663526,CBM,
,,,,,,,,,
AEB,1.666666667,2,0,2,0.047508036,49.66622,1.95748333,CCI,
,,,,,,,,,
AEC,1,1,0,1,0.643412472,0,0.116005998,CFF,
,,,,,,,,,
AEE,1,1.333333333,0.333333333,1,53.53313296,24.17733,0.215978647,CIL,
,,,,,,,,,
AEF,1,1.666666667,0.333333333,1,0.017452725,0,0.132039348,CIQ,
,,,,,,,,,
AEG,1,1,0,1,0.011983074,0,0.063190259,CLQ,
,,,,,,,,,
AEH,1,2,0,2,0.006853114,4.374772148,0.369238605,CMT,
,,,,,,,,,
AEI,2,2,0.666666667,3,0.009256688,0,2.147525677,CNG,
,,,,,,,,,
AEL,1.666666667,1,0,1.666666667,0.080417522,0,0.993596092,CNI,
,,,,,,,,,
AEM,2,0,0,1,2.464527441,0,0.084410869,CNK,
,,,,,,,,,
AEN,2,1.333333333,1,2,0.051640511,0,9.300285771,CNM,
,,,,,,,,,
AEP,1.333333333,0,0,1.333333333,0.194633174,0,1.310962095,CNP,
,,,,,,,,,
AEQ,1,1.666666667,0.666666667,1,0.071124141,0,3.806977336,CNR,
,,,,,,,,,
AES,1,2.333333333,0.666666667,1.333333333,0.036856024,0,8.184553283,CQT,
,,,,,,,,,
AET,1.333333333,2,0,1,0.002319002,0,0.225410029,SACE_GAP,
,,,,,,,,,
AEV,1,2,0.333333333,1.666666667,0.590512086,0,2.018315744,SACE_GAS,
,,,,,,,,,
AFA,1.666666667,0,0,1,0,0,1.408576899,SACE_GAT,
,,,,,,,,,
AFB,1.666666667,1.333333333,0,1,0,0,0.09950108,SACE_MAA,
,,,,,,,,,
AFC,1,2,0,1,0.024916944,0,0.500334814,SACE_MAB,
,,,,,,,,,
AFD,1,0,0,1,0.007560293,0,0.098086373,SACE_MAL,
,,,,,,,,,
AFE,1,2,0,2,0.074076192,0,0.896924426,SACE_YCI,
,,,,,,,,,
AFF,1,1,0,1,0.007429412,0,0.365466052,SACE_YCK,
,,,,,,,,,
AFG,1,1.666666667,0,1,0.012023399,0,0.444218091,SACE_YCL,
,,,,,,,,,
AFH,1.666666667,1,1,1.666666667,17.47335527,40.86905929,0.60690943,SACE_YCO,
,,,,,,,,,
AFI,1,2,1,1,0.011274593,0,22.52261174,SACE_YCQ,
,,,,,,,,,
AFK,1,1,0,2,0.207387282,0,1.06763244,SACE_YCR,
,,,,,,,,,
AFL,1,1.666666667,1,1.666666667,0.335844853,0,0.835620443,SACE_YCT,
,,,,,,,,,
AFM,2,2,0,2,0.010194926,0,0.35084741,,
,,,,,,,,,
AFN,1,1.333333333,0,1,0.011513853,0,0.920031312,,
,,,,,,,,,
AFP,2,2,0.666666667,1.666666667,0.068203519,0,27.10862123,,
,,,,,,,,,
AFQ,1,1,0.333333333,1,0.028997035,0,0.620113365,,
,,,,,,,,,
AFR,1,1.333333333,1,1.333333333,0.025036773,6.00399,7.538032048,,
,,,,,,,,,
AFT,1.333333333,0,0,1,0.048460974,0,0.676701657,,
,,,,,,,,,
AFV,1,0,0.333333333,1,0,0,4.598741854,,
,,,,,,,,,
AGA,1,1,2.333333333,1,0,21.817285,4.126229616,,
,,,,,,,,,
AGC,1,1.333333333,0,2,0.0934229,0,0.303218931,,
,,,,,,,,,
AGF,1,1.333333333,1.666666667,1,0.021907599,0,34.84093974,,
,,,,,,,,,
AGG,2,5,0,3.5,0,0,3.509888804,,
,,,,,,,,,
AGH,1,1.333333333,0,1.333333333,0.102533323,0,0.338115044,,
,,,,,,,,,
AGI,1,2,0,1,0.048120568,0,2.641258524,,
,,,,,,,,,
AGK,1,0,0,1,0.047015432,0,0.311707174,,
,,,,,,,,,
AGL,1,1.333333333,0.666666667,1.333333333,19.30675122,52.33718738,0.526271115,,
,,,,,,,,,
AGM,1,1.666666667,0,1.333333333,0,0,0.552207415,,
,,,,,,,,,
AGN,1,1,0,1,0,0,0.877590093,,
,,,,,,,,,
AGP,1,1.666666667,0,2,0.131781462,0,0.555508399,,
,,,,,,,,,
AGR,1,1,1.666666667,1,0.036634482,0,17.87152571,,
,,,,,,,,,
AGS,2,1,1.333333333,2,0.026560425,0,3.640041875,,
,,,,,,,,,
AGT,1.333333333,1.333333333,0,1.666666667,0.799816374,22.51804,1.191183544,,
,,,,,,,,,
AGV,1,1,0,1,0.146759098,0,1.870714616,,
,,,,,,,,,
AHA,1,1.333333333,0,1,0.405106919,0,2.033877524,,
,,,,,,,,,
AHB,1,1,0,2,0.426240713,0,0.489488725,,
,,,,,,,,,
AHC,1,1,2,1.666666667,0.026556578,0,37.55293363,,
,,,,,,,,,
AHD,1,1,0,2,1.195157091,0,0.519197578,,
,,,,,,,,,
AHE,1,1,0,1.333333333,0.030645863,0,1.069518717,,
,,,,,,,,,
AHF,1,1,0,1,0.029477632,0,1.50713484,,
,,,,,,,,,
AHH,1,1,1,1,0.030386525,0,11.9750257,,
,,,,,,,,,
AHI,1.666666667,1.333333333,0,1.333333333,0.070922365,0,0.298974809,,
,,,,,,,,,
AHK,1,1,0,1,0.304296243,0,0.292372841,,
,,,,,,,,,
AHL,2,1,0,1,0.620721851,0,0.404134718,,
,,,,,,,,,
AHM,1,1,0,1,0.045093331,0,0.711126201,,
,,,,,,,,,
AHN,1,1,0,1.333333333,0.005819648,0,0.496562261,,
,,,,,,,,,
AHR,1,1,0.333333333,1,0.064011453,0,0.831847891,,
,,,,,,,,,
AHS,1.333333333,2,0,1,9.377714767,0,0.437144555,,
,,,,,,,,,
AHT,1,1,0,1,0.028601376,0,0.106574616,,
